level_0,index,Customer ID,frequency,recency,T,monetary_value,predicted_purchases,expected_average_profit,CLV_12_months,Cluster,Cluster_Name,ChurnProbability,ValueSegment,Adjusted_CLV,Estimated_CAC,CLV_CAC_Ratio
40,40,12429.0,3.0,356.0,365.0,750.3000000000001,0.12089286319282114,797.9072863510723,2707.093077650418,0,Inactive Customers,0.048987610449415,High,2574.479056512171,541.4186155300836,4.755061947752925
41,41,12431.0,12.0,313.0,373.0,398.28416666666664,0.3503577415213046,404.46783736688906,3979.9204937566547,2,High-Value Active Customers,0.0338179691728178,High,3845.327665188526,795.984098751331,4.8309101541359105
42,42,12432.0,1.0,130.0,172.0,1042.66,0.11075339454261321,1267.3560801767687,3925.972110173626,0,Inactive Customers,0.3668400449415899,High,2485.7683248381045,785.1944220347252,3.1657997752920504
43,43,12433.0,5.0,373.0,373.0,2187.474,0.17055119800153998,2267.2919820327074,10856.487494711031,2,High-Value Active Customers,0.0011430142486443,High,10844.078374814348,2171.2974989422064,4.994284928756778
44,44,12434.0,1.0,176.0,260.0,519.89,0.08139716799559325,634.1521415456795,1445.126240264057,0,Inactive Customers,0.426208229484799,Medium,829.201544019089,289.02524805281143,2.8689588525760046
45,45,12435.0,1.0,188.0,267.0,3596.5000000000005,0.08023855662103122,4360.688801323011,9796.436533312455,0,Inactive Customers,0.4346488210888908,High,5538.426943236056,1959.2873066624911,2.826755894555546
46,46,12437.0,14.0,330.0,331.0,293.4792857142857,0.44295515880530273,297.4463546965551,3699.9953517263725,2,High-Value Active Customers,0.0338223801446516,High,3574.8527024068394,739.9990703452745,4.830888099276742
47,47,12438.0,1.0,126.0,140.0,1696.78,0.12825885824149347,2059.6573988013415,7385.484621137408,0,Inactive Customers,0.4182090222082116,High,4296.8083191977485,1477.0969242274816,2.908954888958942
48,48,12444.0,4.0,150.0,171.0,486.2525,0.25564409866059656,509.37771410026954,3651.098217103482,0,Inactive Customers,0.24902623120875,High,2741.8789883252152,730.2196434206965,3.7548688439562494
49,49,12449.0,3.0,165.0,187.0,942.4533333333334,0.19787071004571258,1001.9209549203655,5557.645140091488,0,Inactive Customers,0.1935505756738131,High,4481.959723836011,1111.5290280182978,4.032247121630934
50,50,12450.0,1.0,17.0,173.0,96.0,0.08003850023151232,120.71637142434054,270.2478468306386,1,Inactive Customers,0.712356094570973,Low,77.73514609615037,54.04956936612772,1.4382195271451348
51,51,12451.0,4.0,314.0,324.0,1463.9150000000002,0.16171846645913526,1531.6108593299127,6951.57876304928,0,Inactive Customers,0.0127466101578009,High,6862.969698575443,1390.315752609856,4.936266949210995
52,52,12455.0,4.0,223.0,296.0,163.99,0.17276989894618677,172.42359244318664,835.951864396071,0,Inactive Customers,0.1394877636711363,High,719.3468082947461,167.1903728792142,4.302561181644318
53,53,12456.0,2.0,210.0,254.0,900.435,0.12445164829273554,988.4628521094558,3448.5259378544247,0,Inactive Customers,0.229854814049312,High,2655.8656496646668,689.705187570885,3.85072592975344
54,54,12457.0,5.0,173.0,239.0,292.01599999999996,0.23857089918987048,303.3289851954016,2030.3969111313097,0,Inactive Customers,0.3920989580607331,High,1234.2803978269924,406.07938222626194,3.0395052096963346
55,55,12458.0,1.0,213.0,284.0,425.48,0.07723206097362884,519.7982500711092,1124.1515773543995,0,Inactive Customers,0.3734820358884472,Medium,704.3011575968691,224.8303154708799,3.132589820557764
56,56,12462.0,1.0,285.0,303.0,343.48,0.07547947859058715,420.4759420432015,888.8490120059313,0,Inactive Customers,0.2587483021157574,Medium,658.8608393121281,177.76980240118627,3.7062584894212125
57,57,12463.0,3.0,188.0,241.0,295.40333333333336,0.16544903867270802,314.93290242186856,1461.3049979258128,0,Inactive Customers,0.2739508520439754,High,1060.9792486479166,292.26099958516255,3.630245739780123
58,58,12464.0,6.0,299.0,309.0,114.40833333333332,0.2276845650355212,118.46220560230094,757.1329835281477,0,Inactive Customers,0.156155696012446,Medium,638.90235551133,151.42659670562955,4.21922151993777
59,59,12465.0,1.0,152.0,169.0,271.25,0.11392336726070836,332.9875236425213,1060.999740950029,0,Inactive Customers,0.4599186291719662,Medium,573.0261945404806,212.1999481900058,2.7004068541401693
60,60,12468.0,1.0,129.0,316.0,472.95000000000005,0.06238500660080603,577.2961764379968,1008.7400531254533,1,Inactive Customers,0.5135087657086519,Medium,490.74319352412186,201.74801062509067,2.4324561714567405
61,61,12471.0,18.0,362.0,364.0,857.8688888888888,0.5161841239273476,866.4677302157855,12562.06882585759,2,High-Value Active Customers,0.0018084277215661,High,12539.351232352688,2512.413765171518,4.990957861392169
62,62,12472.0,6.0,337.0,369.0,746.1683333333334,0.19793417394488363,769.1356571333089,4274.515958224778,0,Inactive Customers,0.0185051235609304,High,4195.41551225466,854.9031916449557,4.907474382195348
63,63,12473.0,2.0,138.0,191.0,998.02,0.15181490685855153,1095.370463581196,4659.288050130924,0,Inactive Customers,0.2690057785384341,High,3405.912640770632,931.8576100261848,3.6549711073078295
64,64,12474.0,16.0,312.0,329.0,401.79,0.5019059954957431,406.4493521567169,5728.900835128755,2,High-Value Active Customers,0.0108591798504913,High,5666.689670614462,1145.780167025751,4.945704100747543
65,65,12476.0,9.0,346.0,361.0,644.6911111111111,0.2810274360540454,657.8460531571211,5191.549610939303,0,Inactive Customers,0.0289143595373278,High,5041.43927893273,1038.3099221878608,4.855428202313361
66,66,12477.0,5.0,279.0,301.0,2162.588,0.20168461118008071,2241.5065607048314,12688.46010316877,2,High-Value Active Customers,0.0168787919262847,High,12474.29422522242,2537.6920206337545,4.9156060403685755
67,67,12480.0,3.0,308.0,336.0,608.1933333333333,0.12899746464196635,647.0293291910591,2342.063270041524,0,Inactive Customers,0.0891691069896735,High,2133.2235797386065,468.4126540083048,4.554154465051632
68,68,12481.0,7.0,343.0,365.0,687.3057142857143,0.22599329345145078,705.4041205114565,4476.323834977891,0,Inactive Customers,0.0287443873392896,High,4347.654648809193,895.2647669955783,4.856278063303552
69,69,12483.0,7.0,322.0,339.0,223.3457142857143,0.23965498257593612,229.58919092746706,1544.8414874958844,0,Inactive Customers,0.0747749053187747,High,1429.3261115358646,308.9682974991769,4.626125473406126
70,70,12484.0,3.0,301.0,336.0,975.6833333333334,0.12895929337392914,1037.2020197291517,3753.2671689379713,0,Inactive Customers,0.0288374833185753,High,3645.032389563566,750.6534337875943,4.855812583407123
71,71,12488.0,2.0,66.0,75.0,345.635,0.2584490752893964,380.6610091569382,2752.1978387637696,0,Inactive Customers,0.5781752996007749,Medium,1160.945028775922,550.439567752754,2.1091235019961254
72,72,12490.0,9.0,324.0,329.0,453.96777777777777,0.30245450336164215,463.3537835985101,3935.0096769367497,0,Inactive Customers,0.0183954733204528,High,3862.6233114089364,787.0019353873499,4.908022633397737
73,73,12492.0,1.0,42.0,105.0,118.82,0.1412231723287027,148.3570429999119,585.4056119477576,0,Inactive Customers,0.6641593338971441,Low,196.6030106568849,117.08112238955152,1.6792033305142795
74,74,12493.0,1.0,32.0,197.0,183.24,0.07597647414212089,226.38561718476333,481.22972632075056,1,Inactive Customers,0.6819273600611101,Low,153.06600946791062,96.24594526415012,1.5903631996944494
75,75,12494.0,6.0,350.0,365.0,174.08333333333334,0.19976006390334872,179.92373881129316,1009.1461480043522,0,Inactive Customers,0.0950835510307904,Medium,913.1929487430549,201.82922960087046,4.524582244846048
76,76,12498.0,1.0,36.0,57.0,138.45,0.1970143949712385,172.1338345436659,946.5843977539989,0,Inactive Customers,0.6772172574799417,Low,305.54110793373354,189.3168795507998,1.6139137126002916
77,77,12500.0,8.0,284.0,333.0,237.78625,0.2709191629957719,243.55372770691335,1852.656516402888,0,Inactive Customers,0.1702416445338437,High,1537.2572242941183,370.5313032805776,4.148791777330781
78,78,12502.0,4.0,214.0,309.0,592.4925000000001,0.1667802350169067,620.4610883211252,2904.047799715912,0,Inactive Customers,0.1972610308746259,High,2331.192337034762,580.8095599431824,4.013694845626871
79,79,12504.0,1.0,12.0,30.0,32.65,0.24032407161427352,43.983832234487444,294.82103724077706,0,Inactive Customers,0.7428517032352271,Medium,75.8127275768895,58.96420744815541,1.2857414838238643
80,80,12507.0,2.0,164.0,298.0,36.125,0.10886092108424479,41.582515263222014,126.93534028337312,0,Inactive Customers,0.47962196622031,Medium,66.05436279381757,25.387068056674625,2.6018901688984495
81,81,12508.0,1.0,3.0,29.0,123.08,0.23849400343587757,153.51695802672762,1021.1473896036416,0,Inactive Customers,0.6809378119463887,Medium,325.8095204521714,204.22947792072833,1.5953109402680565
82,82,12510.0,1.0,183.0,325.0,217.51999999999998,0.06607203016630302,267.9071869310642,495.8275632499915,0,Inactive Customers,0.4374900000164307,Medium,278.9079625956059,99.1655126499983,2.812549999917846
83,83,12516.0,1.0,103.0,180.0,553.1800000000001,0.10379598790676682,674.4745761096923,1958.3119264195527,0,Inactive Customers,0.5476104570255607,Medium,885.9198373943353,391.66238528391057,2.2619477148721967
84,84,12517.0,3.0,162.0,190.0,518.63,0.1956852031225731,551.9378525788339,3027.8576287359747,0,Inactive Customers,0.165883239448153,High,2525.5867966934484,605.571525747195,4.170583802759235
85,85,12518.0,4.0,110.0,110.0,388.015,0.33323657868085355,406.6616657661082,3797.044444313853,0,Inactive Customers,0.3522761493871154,High,2459.4362484192297,759.4088888627707,3.2386192530644227
86,86,12520.0,4.0,194.0,273.0,362.21,0.18343502985481774,379.68024189779885,1954.1744406489445,0,Inactive Customers,0.2190148128817411,High,1526.1812911919349,390.8348881297889,3.9049259355912946
87,87,12522.0,1.0,12.0,51.0,85.32000000000001,0.19820888423201452,107.780246427535,596.1979742937443,0,Inactive Customers,0.7060868373506675,Low,175.23043218979984,119.23959485874887,1.4695658132466625
88,88,12523.0,10.0,312.0,331.0,155.487,0.3292969954192472,158.61969000433294,1466.6851837187814,0,Inactive Customers,0.0612087518797333,High,1376.9112142228576,293.3370367437563,4.6939562406013335
89,89,12524.0,7.0,324.0,333.0,481.63571428571424,0.2430849728203287,494.4789188398919,3374.750456881401,0,Inactive Customers,0.0411426851527994,High,3235.9041613646637,674.9500913762803,4.794286574236002
90,90,12526.0,2.0,94.0,94.0,344.18,0.23228127495305487,379.06700828906526,2464.014195012932,0,Inactive Customers,0.5029521526292874,High,1224.732951522057,492.8028390025864,2.485239236853563
91,91,12527.0,2.0,244.0,325.0,108.095,0.10298451081544756,120.42804272770054,347.8304512280759,0,Inactive Customers,0.2755692655268257,Low,251.97906925529065,69.56609024561519,3.622153672365871
92,92,12528.0,5.0,303.0,312.0,237.8,0.19626958426549543,247.15352900669612,1361.5647682718554,0,Inactive Customers,0.0801561929999776,High,1252.426919924287,272.3129536543711,4.599219035000113
93,93,12530.0,3.0,277.0,336.0,388.96000000000004,0.1287948840244652,414.26419402465723,1497.1643986272989,0,Inactive Customers,0.1411331906504531,High,1285.8648101207611,299.43287972545977,4.294334046747734
94,94,12535.0,1.0,95.0,186.0,344.9,0.0997306257757964,422.19591371880665,1177.905344582168,0,Inactive Customers,0.5801833391180858,Medium,494.5042885974463,235.58106891643362,2.0990833044095707
95,95,12539.0,3.0,311.0,333.0,1261.5666666666666,0.12993762947449558,1340.7310119375518,4888.367915783616,0,Inactive Customers,0.0546189398480525,High,4621.37044263628,977.6735831567232,4.726905300759737
96,96,12540.0,16.0,342.0,361.0,667.105,0.46643022519927346,674.6882400102623,8838.532294122333,2,High-Value Active Customers,0.0035440517003432,High,8807.20807871681,1767.7064588244666,4.982279741498284
97,97,12541.0,2.0,251.0,280.0,278.39,0.11591514917576756,306.99187626338727,997.7400763982178,0,Inactive Customers,0.248980888305776,Medium,749.3218658783167,199.54801527964355,3.75509555847112
98,98,12545.0,1.0,184.0,259.0,288.24,0.08221076875933062,353.56662136684025,813.7651664847318,0,Inactive Customers,0.4061872990606221,Medium,483.2240914406811,162.75303329694637,2.9690635046968894
99,99,12546.0,1.0,31.0,77.0,345.3,0.16773492208204094,422.68041278235745,1979.8596709868345,0,Inactive Customers,0.6215865562513455,Medium,749.2055162372061,395.9719341973669,1.8920672187432723
100,100,12547.0,1.0,83.0,280.0,20.4,0.0630904941615549,29.146048413245133,51.48985688566463,1,Inactive Customers,0.6185154689400589,Low,19.64258390837125,10.297971377132926,1.9074226552997053
101,101,12553.0,9.0,321.0,329.0,298.4411111111111,0.30243622171544393,304.75371171313213,2587.9497735877967,0,Inactive Customers,0.0471204220263072,High,2466.0044880734536,517.5899547175594,4.764397889868463
102,102,12556.0,1.0,101.0,151.0,290.81,0.11900826135455447,356.67952785015393,1186.922689923964,0,Inactive Customers,0.4896997292566895,Medium,605.6869700195773,237.38453798479281,2.551501353716553
103,103,12557.0,3.0,355.0,371.0,627.1133333333333,0.11930142041925001,667.1171337707232,2233.6176497685215,0,Inactive Customers,0.0851756954315125,High,2043.3677131213872,446.7235299537043,4.574121522842438
104,104,12559.0,1.0,9.0,319.0,75.60000000000001,0.02680595631019027,96.00691918325131,72.08480412921448,1,Inactive Customers,0.7100408753513707,Medium,20.901646705774926,14.416960825842896,1.4497956232431464
105,105,12560.0,1.0,138.0,143.0,625.7,0.12729460595710473,762.3142563314468,2713.0656658707007,0,Inactive Customers,0.4005686169955619,High,1626.296704274731,542.6131331741402,2.9971569150221904
106,106,12562.0,6.0,190.0,198.0,476.53,0.31486428854168425,491.4249679236906,4340.73865602994,0,Inactive Customers,0.1652990655367628,High,3623.2186124488876,868.1477312059881,4.173504672316186
107,107,12567.0,8.0,347.0,369.0,880.12,0.25006939501233033,900.2028394901972,6321.474707817886,2,High-Value Active Customers,0.0069178859018818,High,6277.74346705757,1264.2949415635774,4.96541057049059
108,108,12569.0,25.0,250.0,252.0,117.2004,0.928594755184743,118.17129992828416,3080.8778676917364,2,High-Value Active Customers,0.0811592629330744,High,2830.836090763053,616.1755735383473,4.5942036853346275
109,109,12571.0,1.0,82.0,121.0,271.26,0.1365412905042642,332.99963611911005,1270.7867196237814,0,Inactive Customers,0.5746670791894769,Medium,540.5074271848063,254.1573439247563,2.1266646040526154
110,110,12572.0,1.0,43.0,51.0,433.68,0.20826166450844133,529.7304808739,3078.878176608266,0,Inactive Customers,0.6223423712158704,Medium,1162.7618314930824,615.7756353216532,1.888288143920648
111,111,12576.0,4.0,269.0,304.0,250.52,0.1697311237116337,262.89840768538016,1252.2280272297944,0,Inactive Customers,0.1370469140724164,High,1080.6140403829613,250.4456054459589,4.314765429637918
112,112,12577.0,1.0,324.0,359.0,461.91,0.06579627064153083,563.9240022839955,1039.561568566417,0,Inactive Customers,0.1749437051058443,Medium,857.6968160757648,207.91231371328342,4.1252814744707775
113,113,12578.0,1.0,309.0,330.0,989.85,0.0706081733241456,1203.3900913114785,2380.155956304008,0,Inactive Customers,0.1762783023184102,High,1960.5861050736855,476.0311912608017,4.118608488407949
114,114,12582.0,1.0,50.0,288.0,186.2,0.051091324091372854,229.970910255039,329.0233031574271,1,Inactive Customers,0.6473291857515464,Low,116.03691623124561,65.80466063148542,1.7633540712422682
115,115,12583.0,14.0,371.0,373.0,407.2478571428572,0.4029289608392781,412.65007656455555,4669.873982319144,2,High-Value Active Customers,0.0114997914674816,High,4616.171405343056,933.9747964638287,4.942501042662593
116,116,12584.0,8.0,277.0,280.0,208.89000000000001,0.3100420549367326,214.013481851285,1862.6126333414943,0,Inactive Customers,0.1115608262750822,High,1654.8180289355105,372.5225266682989,4.442195868624589
117,117,12585.0,1.0,117.0,351.0,531.01,0.053080547126214885,647.6212155123909,963.0798945883348,1,Inactive Customers,0.4483991362256054,High,531.2357017386784,192.61597891766698,2.7580043188719725
118,118,12589.0,1.0,116.0,144.0,461.18,0.12489140959146894,563.0397914930153,1966.049244918518,0,Inactive Customers,0.5401535429198572,Medium,904.0807797208705,393.20984898370364,2.299232285400714
119,119,12592.0,1.0,121.0,213.0,187.8,0.09190532035101141,231.9089065092421,596.4310792412836,0,Inactive Customers,0.5447588724153185,Medium,271.51995704035045,119.28621584825672,2.2762056379234075
120,120,12593.0,2.0,110.0,218.0,91.05,0.1368831380463905,101.75467860887275,390.35003693233125,0,Inactive Customers,0.5568060843921044,Medium,173.00076132572653,78.07000738646626,2.2159695780394775
121,121,12594.0,8.0,285.0,322.0,365.40250000000003,0.27828628412891415,374.01409540768185,2922.275568268566,0,Inactive Customers,0.0893889536321298,High,2661.0564129963013,584.4551136537133,4.55305523183935
122,122,12596.0,1.0,191.0,242.0,236.32,0.0876549224422704,290.67864291795036,713.2141023721365,0,Inactive Customers,0.4136528443391013,Medium,418.1910603031432,142.6428204744273,2.931735778304493
123,123,12597.0,3.0,249.0,268.0,904.1733333333333,0.15340396891213778,961.2781875149988,4136.378904772277,0,Inactive Customers,0.0995588897528226,High,3724.5656134161527,827.2757809544554,4.502205551235887
124,124,12598.0,6.0,275.0,284.0,365.7033333333333,0.24283093316615542,377.28040397270206,2571.4373126478295,0,Inactive Customers,0.0854448112914953,High,2351.721336720726,514.2874625295659,4.572775943542523
125,125,12599.0,6.0,275.0,304.0,120.45333333333333,0.23042084026678336,124.68817909619887,806.4844291050625,0,Inactive Customers,0.1324611789082495,Medium,699.6565508546594,161.29688582101252,4.337694105458752
126,126,12600.0,9.0,343.0,371.0,250.28222222222223,0.27486259288587456,255.64314178065942,1973.2792971693925,0,Inactive Customers,0.0704510884083369,High,1834.2596229501708,394.6558594338785,4.647744557958315
127,127,12601.0,4.0,143.0,332.0,80.2125,0.15172072493536096,84.82676089397984,361.2176063770635,1,Inactive Customers,0.4443792582326557,Medium,200.69999439464857,72.2435212754127,2.7781037088367206
128,128,12604.0,1.0,182.0,261.0,75.67999999999999,0.08151751121316848,96.10381899596145,219.33021907719086,0,Inactive Customers,0.4515911426455199,Low,120.28263482743003,43.866043815438175,2.7420442867724004
129,129,12609.0,2.0,240.0,318.0,356.46000000000004,0.10476275447104631,392.52015650726446,1153.2404507484591,0,Inactive Customers,0.2719038179183641,Medium,839.6699692120579,230.64809014969182,3.6404809104081792
130,130,12610.0,3.0,104.0,126.0,298.6133333333333,0.2531572762314458,318.34103417137806,2257.7780888543243,0,Inactive Customers,0.4262149307464903,High,1295.4793570723352,451.5556177708649,2.8689253462675484
131,131,12613.0,2.0,205.0,262.0,1171.3600000000001,0.12149114509567338,1285.2701958403695,4377.602996936594,0,Inactive Customers,0.1495737135164451,High,3722.828660384068,875.5205993873187,4.252131432417774
132,132,12615.0,3.0,166.0,168.0,504.15000000000003,0.2125675535576146,536.564099391015,3196.8165610267833,0,Inactive Customers,0.2207776369046447,High,2491.030955065657,639.3633122053567,3.896111815476776
133,133,12616.0,1.0,202.0,297.0,421.7,0.07352885443825798,515.2197339205544,1060.9331496804275,0,Inactive Customers,0.4099276339637476,Medium,626.0273338382233,212.18662993608552,2.950361830181261
134,134,12619.0,7.0,237.0,253.0,252.21428571428572,0.29939422423737594,259.1954011211822,2177.930005811497,0,Inactive Customers,0.1143110403455908,High,1928.968561047306,435.5860011622994,4.428444798272046
135,135,12620.0,2.0,190.0,204.0,370.875,0.14579334809981911,408.31226819825315,1668.1182714638696,0,Inactive Customers,0.3046705411010285,High,1159.8917750764601,333.62365429277395,3.476647294494857
136,136,12621.0,16.0,364.0,365.0,710.56,0.46252655643262186,718.6221332001529,9335.405439484084,2,High-Value Active Customers,0.0034895683175657,High,9302.82890443083,1867.0810878968168,4.9825521584121715
137,137,12624.0,1.0,71.0,177.0,305.19,0.09941094629997593,374.0972691848041,1040.2508475928958,0,Inactive Customers,0.6016457373168372,Medium,414.3883593984031,208.05016951857917,1.9917713134158137
138,138,12625.0,1.0,108.0,319.0,823.2,0.05835310185766647,1001.5356689596391,1636.9682320513543,1,Inactive Customers,0.4314928232521879,High,930.6281880293727,327.3936464102709,2.84253588373906
